A	Ինչի՞ց եք գանգատվում։	What’s your problem?	sakayan unit7 dialogue2
B	Կոկորդս [կոկորթս] ցավում է, դողացնում  եմ։	I have a sore throat,	sakayan unit7 dialogue2
A	Փորի ցավ ունե՞ք։	Do you have abdominal pain?	sakayan unit7 dialogue2
B	Ո՜չ, բայց սիրտս է խառնում։	No, but I’m nauseous.	sakayan unit7 dialogue2
A	Հիմա քննեմ ու տեսնենք։	Let me examine you now, and we’ll see	sakayan unit7 dialogue2
B	Բժի՜շկ, ծա՞նր է վիճակս։	Doctor, am I in a critical state?	sakayan unit7 dialogue2
A	Մի՜ մտածեք, երևի մրսել եք։	Don’t worry, you probably have a cold.	sakayan unit7 dialogue2
A	Օգնեցե՜ք [օքնեցեք], երեխայիս քթից առատ արյուն է գալիս։	Help me, my child’s nose is bleeding profusely.	sakayan unit7 dialogue2
B	Ե՞րբ [երփ] է սկսվել։	When did it start?	sakayan unit7 dialogue2
A	Երկու ժամ առաջ [առաչ] և չի կտրվում։ Չգիտեմ՝ ինչն է պատճառը։	2 hours ago and it won’t stop. I don’t know what’s causing it.	sakayan unit7 dialogue2
B	Բժիշկը որ գա, կիմանանք։	When the doctor comes, we’ll find out.	sakayan unit7 dialogue2
A	Երանի՛ թե բժիշկը շուտ գար։	I wish the doctor would arrive soon!	sakayan unit7 dialogue2
B	Տեսե՜ք, ահա գալիս է։	Look, he’s coming!	sakayan unit7 dialogue2
