A	Բարի ախորժա՜կ։	Bon appetit!	sakayan unit3 dialogue4
B	Քե՜զ էլ։ Արմեն, աղը կփոխանցե՞ս։	The same to you! Armen, would you pass me the salt?	sakayan unit3 dialogue4
A	Խնդրեմ, հաց է՞լ ես ուզում։	Here you are! Would you like some	sakayan unit3 dialogue4
B	Այո՜, եթե կարելի է, լավաշ։ Շնորհակալ եմ։ Ի՛նչ համով ճաշ է։	Yes, lavash if possible. Thank you. What a delicious meal!	sakayan unit3 dialogue4
A	Ճաշերը միշտ համով են, երբ մայրիկն է պատրաստում։	Meals are always tasty when Mother prepares them.	sakayan unit3 dialogue4
B	Մի քիչ էլ թան կլցնե՞ս։	Would you also pour me some tan?	sakayan unit3 dialogue4
A	Սիրով, խնդրեմ [խնթրեմ]։	Certainly, here you are!	sakayan unit3 dialogue4
B	Իսկ ի՞նչ ենք խմում։ Գինի կամ ուրիշ խմիչք ունե՞նք։	And what shall we drink? Do we have some wine or any other drink?	sakayan unit3 dialogue4
A	Գինի չունենք, բայց ահա՜ սառը «Կոտայք»՝ մեր հայկական գարեջուրը։	We don’t have wine, but here is some cold “Kotayk,” our Armenian beer.	sakayan unit3 dialogue4
B	Կենա՛ցդ [կենացտ]։	Cheers!	sakayan unit3 dialogue4
