A	Մի բան կարո՞ղ եմ հարցնել։	May I ask (you) something?	sakayan unit6 dialogue3
B	Խնդրեմ [խնթրեմ]։	Sure.	sakayan unit6 dialogue3
A	Ի՞նչ է նշանակում «օրացույց»։	What does orat¿sŒuyt¿sŒ mean?	sakayan unit6 dialogue3
B	Օրացույց նշանակում է	Orat¿sŒuyt¿sŒ means calendar.	sakayan unit6 dialogue3
A	Իսկ ի՞նչ են ասում	And how do you say computer?	sakayan unit6 dialogue3
B	«Համակարգիչ [համակարքիչ]»։	HamakarkŒic¿hŒ.	sakayan unit6 dialogue3
A	Կարո՞ղ եք բառը կրկնել և ասել, թե ինչպես է գրվում։	Can you repeat the word and tell me how it’s spelled?	sakayan unit6 dialogue3
B	Այո՜, սիրով։ Այսպես է գրվում՝	Yes, sure. It’s spelled like this:	sakayan unit6 dialogue3
A	Ասացե՜ք, խնդրեմ, որտե՞ղ է գրադարանը։	Tell me please, where is the library?	sakayan unit6 dialogue3
B	Այստեղից թեքվե՜ք ձախ՝ դիմացի դուռն է։		sakayan unit6 dialogue3
A	Շնորհակալ եմ։	Thank you.	sakayan unit6 dialogue3
B	Բայց այսօր գրադարանը փակ է։	But the library is closed today.	sakayan unit6 dialogue3
