A	Այս ամառ ի՞նչ ծրագիր ունեք։	What are your plans this summer?	sakayan unit11 dialogue3
B	Եվրոպա ենք ուզում գնալ։	We want to go to Europe.	sakayan unit11 dialogue3
A	Երեխաներին է՞լ եք տանելու։	Are you taking the children along?	sakayan unit11 dialogue3
B	Ո՜չ, նրանք գյուղ են գնում։	No, they are going to the country.	sakayan unit11 dialogue3
A	Ո՞ր երկիրն եք այցելելու։	Which country are you going to visit?	sakayan unit11 dialogue3
B	Ես Գերմանիա եմ ուզում գնալ, իսկ ամուսինս՝ Հունաստան։	I want to go to Germany, but my husband wants to go to Greece.	sakayan unit11 dialogue3
A	Առաջի՞ն [առաչին] անգամ [անքամ] եք Եվրոպա մեկնում։	Is this the 1st time you will be going to Europe?	sakayan unit11 dialogue3
B	Ո՜չ, երրորդ [երրորթ] անգամն [անքամն] է արդեն [արթեն]։ Իսկ դուք ի՞նչ եք անելու այս ամառ։	No, it’s already our 3rd time. And what are you doing this summer?	sakayan unit11 dialogue3
A	Որոշել ենք քաղաքում մնալ։ Հյուրերի ենք սպասում Ռուսաստանից։	We’ve decided to stay in town. We’re expecting guests from Russia.	sakayan unit11 dialogue3
B	Ցանկանում եմ ձեզ հաճելի ամառ։	I wish you a pleasant summer.	sakayan unit11 dialogue3
A	Ձեզ էլ՝ բարի ճանապարհ։	And bon voyage to you!	sakayan unit11 dialogue3
