լավ	good	sakayan unit2 vocab
պատասխան	answer	sakayan unit2 vocab
այս	this	sakayan unit2 vocab
խումբ	group	sakayan unit2 vocab
սովորել	to learn	sakayan unit2 vocab
աշակերտ	pupil (male)	sakayan unit2 vocab
աշակերտուհի	pupil (female)	sakayan unit2 vocab
արդեն [արթեն]	already	sakayan unit2 vocab
մի քիչ	a little	sakayan unit2 vocab
այսօր	today	sakayan unit2 vocab
էլ	too, also	sakayan unit2 vocab
հաշվել	to count	sakayan unit2 vocab
ուսուցչուհի	teacher (female)	sakayan unit2 vocab
հարցնել	to ask	sakayan unit2 vocab
եթե	if	sakayan unit2 vocab
կավիճ	chalk	sakayan unit2 vocab
կիսել	to cut in half	sakayan unit2 vocab
եթե կիսեմ	if I cut it in half	sakayan unit2 vocab
քանի՞	how many?	sakayan unit2 vocab
կտոր	piece	sakayan unit2 vocab
ունենալ	to have	sakayan unit2 vocab
պատասխանել	to answer	sakayan unit2 vocab
նորից	again	sakayan unit2 vocab
ամեն	every, each	sakayan unit2 vocab
ասել	to say	sakayan unit2 vocab
իսկ	and, but	sakayan unit2 vocab
փոշի	dust	sakayan unit2 vocab
մնալ	to remain, stay	sakayan unit2 vocab
չի մնա	won’t remain	sakayan unit2 vocab
դառնալ	to become, to turn	sakayan unit2 vocab
կդառնա	will become, will turn into	sakayan unit2 vocab
