A	Բարև՜,	Hello, Mary!	sakayan unit2 dialogue1
B	Բարև՜, աշխատո՞ւմ ես։	Hello, Lilith! What are you doing here? Do you work (here)?	sakayan unit2 dialogue1
A	Ո՜չ, հայերեն եմ սովորում։	No, I’m studying Armenian.	sakayan unit2 dialogue1
B	Ա՛հ, գիտեմ, դու շատ հայ ընկերներ ունես։	Oh, I know, you have many Armenian friends.	sakayan unit2 dialogue1
A	Այո՜, և հայերենը շատ եմ սիրում։	Yes, and I like Armenian very much. . .	sakayan unit2 dialogue1
B	Բայց դու հայերեն գիտես, չէ՞։	But you know Armenian, don’t you? .	sakayan unit2 dialogue1
A	Հասկանում եմ, մի քիչ էլ խոսում եմ, բայց գրել և կարդալ [կարտալ] չգիտեմ։	I understand [Armenian], I also speak a little, but I don’t write or read it.	sakayan unit2 dialogue1
B	Հայկական այբուբենը դժվա՞ր է։	Is the Armenian alphabet difficult?	sakayan unit2 dialogue1
A	Երկար է, բայց բնավ դժվար չէ։	It’s long, but not difficult at all.	sakayan unit2 dialogue1
B	Իսկ հայերեն քերականությո՞ւնը։	And Armenian grammar?	sakayan unit2 dialogue1
A	Շատ լավ դասագիրք ունենք։ Դրանով ամեն ինչ խաղ ու պար է։	We have a very good textbook. With it, everything is child’s play.	sakayan unit2 dialogue1
B	Բոլոր տառերը կարո՞ղ ես գրել։	Can you write all the letters?	sakayan unit2 dialogue1
A	Ո՜չ, բոլորը դեռ չգիտեմ։	No, I don’t know them all yet.	sakayan unit2 dialogue1
B	Ամեն օր հայերենի դաս ունե՞ք։	Do you have Armenian classesevery day?	sakayan unit2 dialogue1
A	Ո՜չ, շաբաթը [շափաթը] երկու անգամ [անքամ]։	No, twice a week.	sakayan unit2 dialogue1
B	Ուզո՞ւմ ես քեզ քննեմ։	Do you want me to examine you?	sakayan unit2 dialogue1
A	Ինչո՞ւ չէ, սկսե՜նք։	Why not? Let’s start!	sakayan unit2 dialogue1
B	Սա ի՞նչ է։	What’s this?	sakayan unit2 dialogue1
A	Սա դասարան է։	This is a classroom.	sakayan unit2 dialogue1
B	Դասարանը փո՞քր է։	Is the classroom small?	sakayan unit2 dialogue1
A	Ո՜չ, փոքր չէ։ Մեծ է։	No, it’s not small. It’s big.	sakayan unit2 dialogue1
B	Այստեղ ի՞նչ ես տեսնում։	What do you see here?	sakayan unit2 dialogue1
A	Մի սեղան, գրասեղաններ և աթոռներ։	A table, desks, and chairs.	sakayan unit2 dialogue1
B	Ի՞նչ կա սեղանի վրա։	What’s on the table?	sakayan unit2 dialogue1
A	Գրքեր ու տետրեր։	Books and notebooks.	sakayan unit2 dialogue1
B	Ուրիշ ի՞նչ կա։	What else is there?	sakayan unit2 dialogue1
A	Մատիտներ, գրիչներ և մի ռետին։	Pencils, 2 pens, and an eraser.	sakayan unit2 dialogue1
B	Այստեղ ո՞վ է նստում։	Who sits here?	sakayan unit2 dialogue1
A	Ուսուցիչը։	The teacher does.	sakayan unit2 dialogue1
B	Իսկ այնտե՞ղ։	And over there?	sakayan unit2 dialogue1
A	Այնտեղ ուսանողներն են նստում։	The students sit there.	sakayan unit2 dialogue1
B	Պատին ի՞նչ կա։	What’s on the wall?	sakayan unit2 dialogue1
A	Գրատախտակ ու նկարներ։	A blackboard and pictures.	sakayan unit2 dialogue1
B	Ուրի՞շ։	What else?	sakayan unit2 dialogue1
A	Մի ժամացույց։	A clock.	sakayan unit2 dialogue1
B	Ապրե՛ս, լավ աշակերտուհի ես։	Good for you! You are a good pupil (female).	sakayan unit2 dialogue1
