հոր	father’s	sakayan unit4 vocab
խորհուրդ [խորհուրթ]	advice	sakayan unit4 vocab
խորհուրդ [խորհուրթ] տալ	to advise	sakayan unit4 vocab
որդի [որթի]	son	sakayan unit4 vocab
համերաշխ	in harmony	sakayan unit4 vocab
ապրել	to live	sakayan unit4 vocab
իրար հետ	with each other	sakayan unit4 vocab
լսել	to listen to, to obey	sakayan unit4 vocab
իրենց	their	sakayan unit4 vocab
մի օր	1 day	sakayan unit4 vocab
հրամայել	to order	sakayan unit4 vocab
ցախավել	birch-broom	sakayan unit4 vocab
բերել	to bring, to fetch	sakayan unit4 vocab
առաջարկել [առաչարկել]	to propose	sakayan unit4 vocab
կոտրել	to break	sakayan unit4 vocab
փորձել [փորցել]	to try	sakayan unit4 vocab
բայց	but	sakayan unit4 vocab
կարողանալ	to be able	sakayan unit4 vocab
այն ժամանակ	at that time, then	sakayan unit4 vocab
քանդել	to untie	sakayan unit4 vocab
շյուղ	twig	sakayan unit4 vocab
մեկ-մեկ	1 by 1	sakayan unit4 vocab
տվեց (	gave	sakayan unit4 vocab
հեշտությամբ	with ease	sakayan unit4 vocab
առանձին	separate, single	sakayan unit4 vocab
այսպես էլ	this way, thus	sakayan unit4 vocab
եթե	if	sakayan unit4 vocab
իրար	each other	sakayan unit4 vocab
ամուր	strong	sakayan unit4 vocab
բռնել	to hold	sakayan unit4 vocab
ոչ մեկը	nobody	sakayan unit4 vocab
հաղթել	to vanquish	sakayan unit4 vocab
իսկ	but	sakayan unit4 vocab
կռվել	to fight	sakayan unit4 vocab
խռովել	to get alienated	sakayan unit4 vocab
հեշտ	it will be easy	sakayan unit4 vocab
կլինի	it will be easy	sakayan unit4 vocab
