A	Ի՞նչ է պատահել։ Գունատ ես։ Հիվանդ տեսք ունես։	What happened? You’re pale. You look ill.	sakayan unit7 dialogue1
B	Այո՜, լավ չեմ։	Yes, I’m not well. I don’t know what it is.	sakayan unit7 dialogue1
A	Վա՞տ ես զգում։	What’s wrong?	sakayan unit7 dialogue1
B	Գլուխս է ցավում։	I have a headache.	sakayan unit7 dialogue1
A	Ջերմություն ունե՞ս։	Have you got a fever?	sakayan unit7 dialogue1
B	Չգիտեմ, գուցե մի քիչ։	I don’t know; maybe a little.	sakayan unit7 dialogue1
A	Հազո՞ւմ ես։	Do you have a cough?	sakayan unit7 dialogue1
B	Շատ ուժեղ։	A bad 1.	sakayan unit7 dialogue1
A	Բժշկի դիմե՞լ ես։	Did you see a doctor?	sakayan unit7 dialogue1
B	Դեռ ոչ։	Not yet.	sakayan unit7 dialogue1
A	Ինչո՞ւ ես ուշացնում, գնա՜։	Why are you delaying it? Go!	sakayan unit7 dialogue1
B	Վաղը գնալու եմ։	I’ll go tomorrow.	sakayan unit7 dialogue1
