A	Հավանո՞ւմ ես Կարոյի նշանածին։	Do you like Karo’s fiancé?	sakayan unit8 dialogue2
B	Ես նրան դեռ չեմ տեսել։	I haven’t seen her yet.	sakayan unit8 dialogue2
A	Երեկ եկել էր մեր հավաքույթին։	She came to our party yesterday.	sakayan unit8 dialogue2
B	Ինչպիսի՞ն է։ Դուրդ [դուրտ] եկա՞վ։	What is she like? Did you like her?	sakayan unit8 dialogue2
A	Կարոյից ավելի բարձրահասակ [բարցրահասակ] է և նրանից՝ տարիքով մեծ։	She’s taller than Karo, and older than him.	sakayan unit8 dialogue2
B	Գոնե գեղեցի՞կ է։	Is she pretty at least?	sakayan unit8 dialogue2
A	Եթե ինձ հարցնես, տգեղ է։	If you ask me, she’s ugly.	sakayan unit8 dialogue2
B	Ի՞նչ էր հագել [հաքել]։	What was she wearing?	sakayan unit8 dialogue2
A	Անճաշակ կին է։	She is a woman with no taste.	sakayan unit8 dialogue2
B	Հետը խոսեցի՞ր։	Did you talk to her?	sakayan unit8 dialogue2
A	Ո՜չ, չկարողացա։ Ինքն էր բոլորից շատ խոսում։	No, I couldn’t. She did all of the talking.	sakayan unit8 dialogue2
B	Ինձ զարմացնում է Կարոյի ճաշակը։	I am surprised at Karo’s taste.	sakayan unit8 dialogue2
A	Նա ե՞րբ [երփ] է ճաշակ ունեցել։	Did he ever have taste?	sakayan unit8 dialogue2
