rank	freq	coinage	loanword(s)_replaced	en
357	30	արի	Սկաուտ (scout)
365	30	միավոր	Բալ (point)
673	17	տնօրեն	Դիրեկտոր (Director)
698	17	մշակույթ	Կուլտուրա (culture)
1480	8	ղեկավար	Էքսկուրսավար (guide); Լիդեր (leader)
1484	8	գրասենյակ	Բյուրո (office)
1592	8	ցեղասպանություն	Գենոցիդ (genocide)
1677	7	համակարգիչ	Կոմպյուտեր (computer)
1757	7	կոչ	Լոզունգ (slogan)
1905	6	ճարտարագետ	Ինժեներ (engineer)
2230	5	զբոսաշրջիկ	Տուրիստ (tourist)
2247	5	լրագրող	Ժուռնալիստ (journalist)
2329	5	առաջնորդ	Էքսկուրսավար (guide); Լիդեր (leader)
2561	5	հատված	Սեկտոր (sector)
2592	5	տարածություն	Ինտերվալ (interval)
2602	5	դահլիճ	Կաբինետ (cabinet)
2643	5	կռիվ	Սկանդալ (scandal)
3032	4	համացանց	Ինտերնետ (internet)
3039	4	կայքէջ	Սայթ (site)
3301	4	կորիզ	Ատոմ (atom)
3395	4	վիճակագրություն	Ստատիստիկա (statistics)
3582	3	ազատքեղ	Մաղադանոս (parsley)
3584	3	լոլիկ	Պոմիդոր (tomato)
3591	3	հյուրանոց	Մոթել (motel)
3826	3	ագարակ	Ֆերմա (farm)
3852	3	դաշնություն	Ֆեդերացիա (federation)
4008	3	մտավորական	Ինտելիգենտ (intellectual)
4129	3	դաշինք	Պակտ (pact)
4203	3	ուխտ	Պակտ (pact)
4398	3	թիթեղ	Կանիստր (tank)
4452	3	տակառ	Բարել (barrel)
4611	3	գեղագիտական	Էսթետիկական (aesthetic)
5182	2	շնորհանդես	Պրեզենտացիա (presentation)
5189	2	կայք	Սայթ (site)
5429	2	պաստառ	Էկրան (screen)
5439	2	ասուլիս	Պրես-կոնֆերանս (press-conference)
5471	2	չափանմուշ	Էտալոն (standard)
5759	2	երգահան	Կոմպոզիտոր (composer)
5914	2	օրհներգ	Հիմն (anthem)
6058	2	բնազդ	Ինտուիցիա (intuition)
6069	2	գետնախնձոր	Կարտոֆիլ (potato)
6168	2	խարիսխ	Բազա (Pedestal, support, military base)
6175	2	ծխախոտ	Սիգարետ (cigarette)
6212	2	հանրակառք	Ավտոբուս (bus); Տրամվայ (tram)
6245	2	միջուկ	Ատոմ (atom)
6256	2	շաբաթավերջ	Ուիք-էնդ (weekend)
6279	2	պանդոկ	Մոթել (motel)
6337	2	քառյակ	Կվարտետ (quartet)
6467	2	եզր	Տերմին (term)
6592	2	համաբանություն	Անալոգիա (analogy)
6729	2	արմատական	Ռադիկալ (radical)
6821	2	շրիշակ	Պլինտուս (plinth)
6898	2	բառացանկ	Նոմենկլատուրա (nomenclature)
7041	2	միտումնավոր	Տենդենցիոզ (tendentious)
7063	2	վեճ	Սկանդալ (scandal)
7170	1	գնացուցակ	Տարիֆ (tariff, rate)
7337	1	սրտաբան	Կարդիոլոգ (cardiologist)
7684	1	դաշտագնացություն	Պիկնիկ (picnic)
7782	1	խորհրդարան	Պառլամենտ (parliament)
7901	1	դաշնային	Ֆեդերալ (union)
7962	1	հաղորդավար	Դիկտոր (announcer)
8538	1	մանրամաս	Դետալ (spare part)
8895	1	մանիա	Մանիա (persecution mania)
9173	1	շնորհավորանք	Պրեզենտացիա (presentation)
9404	1	հանդ	Ֆերմա (farm)
